Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.83379,52.6619806,-6.5,11.8,27.1,31.6,47.7,2,2,0
5.8337906,52.6619896,-6.6,12.2,27.3,32.1,47.8,2,2,0
5.8337912,52.6619986,-6.6,12.4,27.9,32,47.8,2,2,0
5.8337917,52.6620076,-6.6,12.5,28.8,32.4,47.8,2,2,0
5.8337923,52.6620165,-6.6,12.6,28.8,32.4,47.5,2,2,0
5.8337929,52.6620255,-6.6,13.1,29,32.5,47.3,2,2,0
5.8337935,52.6620345,-6.6,13.8,29.5,32.9,46.2,2,2,0
5.8337941,52.6620435,-6.6,14.5,29.5,32.9,45.8,2,2,0
5.8337946,52.6620524,-6.6,14.6,29.6,33,45.7,2,2,0
5.8337952,52.6620614,-6.6,14.6,29.7,33,45.5,2,2,0
5.8338036,52.6619623,-6.4,11.7,26.8,31,47.1,1,2,0
5.8338042,52.6619713,-6.5,11.7,26.9,31.1,47.1,1,2,0
5.8338048,52.6619803,-6.5,11.8,27,31.6,47.3,2,2,0
5.8338053,52.6619892,-6.6,12,27.2,32,47.8,2,2,0
5.8338059,52.6619982,-6.6,12.4,27.9,32,47.8,2,2,0
5.8338065,52.6620072,-6.6,12.4,28.7,32.3,47.8,2,2,0
5.8338071,52.6620162,-6.6,12.6,28.8,32.4,47.5,2,2,0
5.8338077,52.6620252,-6.6,13.1,29,32.5,47.1,2,2,0
5.8338082,52.6620341,-6.6,14,29.5,32.9,46.1,2,2,0
5.8338088,52.6620431,-6.6,14.6,29.5,32.9,45.8,2,2,0
5.8338094,52.6620521,-6.6,14.6,29.6,33,45.7,2,2,0
5.83381,52.6620611,-6.6,14.6,29.6,33.1,45.4,2,2,0
5.8338106,52.6620701,-6.6,14.6,29.6,33.1,45.3,2,2,0
5.8338178,52.661953,-6.4,11.6,26.9,30.9,47.2,1,2,0
5.8338184,52.661962,-6.4,11.6,26.9,31,47.1,1,2,0
5.8338189,52.6619709,-6.5,11.7,26.9,31.2,47.1,1,2,0
5.8338195,52.6619799,-6.5,11.7,27,31.6,47.2,2,2,0
5.8338201,52.6619889,-6.5,11.9,27.1,31.8,47.7,2,2,0
5.8338207,52.6619979,-6.6,12.3,27.8,32,47.7,2,2,0
5.8338213,52.6620068,-6.6,12.4,28.5,32.3,47.7,2,2,0
5.8338218,52.6620158,-6.6,12.6,28.8,32.4,47.5,2,2,0
5.8338224,52.6620248,-6.6,13.1,29,32.5,47.2,2,2,0
5.833823,52.6620338,-6.6,14,29.5,32.9,46.2,2,2,0
5.8338236,52.6620428,-6.6,14.5,29.5,32.9,45.8,2,2,0
5.8338242,52.6620517,-6.6,14.6,29.6,33,45.6,2,2,0
5.8338248,52.6620607,-6.6,14.6,29.6,33.1,45.4,2,2,0
5.8338253,52.6620697,-6.6,14.6,29.6,33.1,45.3,2,2,0
5.8338259,52.6620787,-6.6,14.6,29.4,33.2,45.2,2,2,0
5.8338314,52.6619347,-6.4,11.4,26.8,31.3,48.6,1,2,0
5.833832,52.6619436,-6.4,11.6,26.8,31.2,48,1,2,0
5.8338325,52.6619526,-6.4,11.6,26.9,31.1,47.3,1,2,0
5.8338331,52.6619616,-6.4,11.6,26.9,31,47.1,1,2,0
5.8338337,52.6619706,-6.5,11.6,26.9,31.1,47.1,1,2,0
5.8338343,52.6619796,-6.5,11.7,26.9,31.2,47.1,1,2,0
5.8338349,52.6619885,-6.5,11.8,27,31.6,47.3,2,2,0
5.8338355,52.6619975,-6.6,12.1,27.3,32,47.7,2,2,0
5.833836,52.6620065,-6.6,12.4,28.2,32.3,47.8,2,2,0
5.8338366,52.6620155,-6.6,12.6,28.8,32.4,47.7,2,2,0
5.8338372,52.6620245,-6.6,13.1,29,32.5,47.2,2,2,0
5.8338378,52.6620334,-6.6,14,29.4,32.9,46.4,2,2,0
5.8338384,52.6620424,-6.6,14.5,29.5,32.9,45.8,2,2,0
5.8338389,52.6620514,-6.6,14.6,29.5,33,45.5,2,2,0
5.8338395,52.6620604,-6.6,14.6,29.5,33.1,45.3,2,2,0
5.8338401,52.6620693,-6.6,14.6,29.4,33.1,45.3,2,2,0
5.8338407,52.6620783,-6.6,14.6,29,33.1,45.2,2,2,0
5.8338413,52.6620873,-6.6,14.6,28.8,33.1,45.3,2,2,0
5.8338456,52.6619253,-6.4,11.3,26.6,31.3,48.7,1,2,0
5.8338462,52.6619343,-6.4,11.4,26.8,31.2,48.6,1,2,0
5.8338467,52.6619433,-6.4,11.6,26.8,31.2,48.3,1,2,0
5.8338473,52.6619523,-6.4,11.6,26.9,31.2,48,1,2,0
5.8338479,52.6619612,-6.4,11.6,26.9,31,47.2,1,2,0
5.8338485,52.6619702,-6.4,11.6,26.8,31,47.1,1,2,0
5.8338491,52.6619792,-6.5,11.6,26.9,31.2,47.2,1,2,0
5.8338496,52.6619882,-6.5,11.7,26.9,31.5,47.6,1,2,0
5.8338502,52.6619972,-6.5,11.9,27.2,31.8,47.7,2,2,0
5.8338508,52.6620061,-6.6,12.4,27.8,32.1,47.8,2,2,0
5.8338514,52.6620151,-6.6,12.6,28.5,32.3,47.9,2,2,0
5.833852,52.6620241,-6.6,13.1,28.9,32.5,47.5,2,2,0
5.8338525,52.6620331,-6.6,13.8,29.3,32.8,46.9,2,2,0
5.8338531,52.6620421,-6.6,14.4,29.4,32.9,45.9,2,2,0
5.8338537,52.662051,-6.6,14.6,29.5,33,45.7,2,2,0
5.8338543,52.66206,-6.6,14.6,29.4,33.1,45.4,2,2,0
5.8338549,52.662069,-6.6,14.6,29.1,33.1,45.3,2,2,0
5.8338555,52.662078,-6.6,14.6,28.9,33.1,45.3,2,2,0
5.833856,52.662087,-6.6,14.6,28.8,33.2,45.3,2,2,0
5.8338566,52.6620959,-6.6,14.7,28.7,33.2,45.3,2,2,0
5.8338592,52.661907,-6.4,11.1,26,31.4,48.7,1,2,0
5.8338598,52.661916,-6.4,11.1,26.1,31.3,48.7,1,2,0
5.8338603,52.661925,-6.4,11.3,26.4,31.3,48.7,1,2,0
5.8338609,52.661934,-6.4,11.4,26.7,31.2,48.7,1,2,0
5.8338615,52.6619429,-6.4,11.4,26.8,31.2,48.6,1,2,0
5.8338621,52.6619519,-6.4,11.6,26.9,31.2,48.1,1,2,0
5.8338627,52.6619609,-6.4,11.6,26.9,31.2,47.8,1,2,0
