Long,Lat,Hoogte,EC_0.5m,EC_1m,EC_1.5m,EC_3m,Class_3,Class_5,Outlier
5.833789949,52.66198065,-6.5,11.8,27.1,31.6,47.7,2,2,0
5.833790669,52.66198959,-6.6,12.2,27.3,32.1,47.8,2,2,0
5.833791208,52.66199865,-6.6,12.4,27.9,32,47.8,2,2,0
5.833791748,52.66200759,-6.6,12.5,28.8,32.4,47.8,2,2,0
5.833792287,52.66201654,-6.6,12.6,28.8,32.4,47.5,2,2,0
5.833792827,52.66202548,-6.6,13.1,29,32.5,47.3,2,2,0
5.833793546,52.66203454,-6.6,13.8,29.5,32.9,46.2,2,2,0
5.833794086,52.66204348,-6.6,14.5,29.5,32.9,45.8,2,2,0
5.833794626,52.66205243,-6.6,14.6,29.6,33,45.7,2,2,0
5.833795165,52.66206137,-6.6,14.6,29.7,33,45.5,2,2,0
5.833803619,52.66196232,-6.4,11.7,26.8,31,47.1,1,2,0
5.833804158,52.66197126,-6.5,11.7,26.9,31.1,47.1,1,2,0
5.833804878,52.66198032,-6.5,11.8,27,31.6,47.3,2,2,0
5.833805238,52.66198915,-6.6,12,27.2,32,47.8,2,2,0
5.833805957,52.66199821,-6.6,12.4,27.9,32,47.8,2,2,0
5.833806497,52.66200715,-6.6,12.4,28.7,32.3,47.8,2,2,0
5.833807036,52.66201621,-6.6,12.6,28.8,32.4,47.5,2,2,0
5.833807756,52.66202515,-6.6,13.1,29,32.5,47.1,2,2,0
5.833808115,52.6620341,-6.6,14,29.5,32.9,46.1,2,2,0
5.833808835,52.66204305,-6.6,14.6,29.5,32.9,45.8,2,2,0
5.833809375,52.6620521,-6.6,14.6,29.6,33,45.7,2,2,0
5.833809914,52.66206115,-6.6,14.6,29.6,33.1,45.4,2,2,0
5.833810634,52.6620701,-6.6,14.6,29.6,33.1,45.3,2,2,0
5.833817828,52.66195305,-6.4,11.6,26.9,30.9,47.2,1,2,0
5.833818368,52.66196199,-6.4,11.6,26.9,31,47.1,1,2,0
5.833818907,52.66197094,-6.5,11.7,26.9,31.2,47.1,1,2,0
5.833819447,52.66197988,-6.5,11.7,27,31.6,47.2,2,2,0
5.833820166,52.66198894,-6.5,11.9,27.1,31.8,47.7,2,2,0
5.833820706,52.66199788,-6.6,12.3,27.8,32,47.7,2,2,0
5.833821246,52.66200683,-6.6,12.4,28.5,32.3,47.7,2,2,0
5.833821785,52.66201577,-6.6,12.6,28.8,32.4,47.5,2,2,0
5.833822325,52.66202483,-6.6,13.1,29,32.5,47.2,2,2,0
5.833823044,52.66203377,-6.6,14,29.5,32.9,46.2,2,2,0
5.833823584,52.66204283,-6.6,14.5,29.5,32.9,45.8,2,2,0
5.833824123,52.66205166,-6.6,14.6,29.6,33,45.6,2,2,0
5.833824843,52.66206072,-6.6,14.6,29.6,33.1,45.4,2,2,0
5.833825382,52.66206966,-6.6,14.6,29.6,33.1,45.3,2,2,0
5.833825922,52.66207872,-6.6,14.6,29.4,33.2,45.2,2,2,0
5.833831318,52.66193472,-6.4,11.4,26.8,31.3,48.6,1,2,0
5.833832037,52.66194355,-6.4,11.6,26.8,31.2,48,1,2,0
5.833832577,52.66195261,-6.4,11.6,26.9,31.1,47.3,1,2,0
5.833833117,52.66196155,-6.4,11.6,26.9,31,47.1,1,2,0
5.833833656,52.66197061,-6.5,11.6,26.9,31.1,47.1,1,2,0
5.833834376,52.66197955,-6.5,11.7,26.9,31.2,47.1,1,2,0
5.833834915,52.6619885,-6.5,11.8,27,31.6,47.3,2,2,0
5.833835455,52.66199745,-6.6,12.1,27.3,32,47.7,2,2,0
5.833835994,52.6620065,-6.6,12.4,28.2,32.3,47.8,2,2,0
5.833836534,52.66201545,-6.6,12.6,28.8,32.4,47.7,2,2,0
5.833837253,52.6620245,-6.6,13.1,29,32.5,47.2,2,2,0
5.833837793,52.66203345,-6.6,14,29.4,32.9,46.4,2,2,0
5.833838333,52.66204239,-6.6,14.5,29.5,32.9,45.8,2,2,0
5.833838872,52.66205145,-6.6,14.6,29.5,33,45.5,2,2,0
5.833839412,52.66206039,-6.6,14.6,29.5,33.1,45.3,2,2,0
5.833840131,52.66206934,-6.6,14.6,29.4,33.1,45.3,2,2,0
5.833840671,52.66207828,-6.6,14.6,29,33.1,45.2,2,2,0
5.833841211,52.66208734,-6.6,14.6,28.8,33.1,45.3,2,2,0
5.833845527,52.66192534,-6.4,11.3,26.6,31.3,48.7,1,2,0
5.833846247,52.66193428,-6.4,11.4,26.8,31.2,48.6,1,2,0
5.833846786,52.66194334,-6.4,11.6,26.8,31.2,48.3,1,2,0
5.833847326,52.66195228,-6.4,11.6,26.9,31.2,48,1,2,0
5.833847865,52.66196123,-6.4,11.6,26.9,31,47.2,1,2,0
5.833848585,52.66197017,-6.4,11.6,26.8,31,47.1,1,2,0
5.833849125,52.66197923,-6.5,11.6,26.9,31.2,47.2,1,2,0
5.833849664,52.66198817,-6.5,11.7,26.9,31.5,47.6,1,2,0
5.833850204,52.66199723,-6.5,11.9,27.2,31.8,47.7,2,2,0
5.833850743,52.66200606,-6.6,12.4,27.8,32.1,47.8,2,2,0
5.833851463,52.66201512,-6.6,12.6,28.5,32.3,47.9,2,2,0
5.833852002,52.66202406,-6.6,13.1,28.9,32.5,47.5,2,2,0
5.833852542,52.66203312,-6.6,13.8,29.3,32.8,46.9,2,2,0
5.833853082,52.66204206,-6.6,14.4,29.4,32.9,45.9,2,2,0
5.833853621,52.66205101,-6.6,14.6,29.5,33,45.7,2,2,0
5.833854341,52.66205995,-6.6,14.6,29.4,33.1,45.4,2,2,0
5.83385488,52.66206901,-6.6,14.6,29.1,33.1,45.3,2,2,0
5.83385542,52.66207795,-6.6,14.6,28.9,33.1,45.3,2,2,0
5.833855959,52.66208701,-6.6,14.6,28.8,33.2,45.3,2,2,0
5.833856679,52.66209595,-6.6,14.7,28.7,33.2,45.3,2,2,0
5.833859197,52.66190701,-6.4,11.1,26,31.4,48.7,1,2,0
5.833859737,52.66191595,-6.4,11.1,26.1,31.3,48.7,1,2,0
5.833860276,52.66192501,-6.4,11.3,26.4,31.3,48.7,1,2,0
5.833860816,52.66193395,-6.4,11.4,26.7,31.2,48.7,1,2,0
5.833861535,52.6619429,-6.4,11.4,26.8,31.2,48.6,1,2,0
5.833862075,52.66195185,-6.4,11.6,26.9,31.2,48.1,1,2,0
5.833862614,52.6619609,-6.4,11.6,26.9,31.2,47.8,1,2,0
5.833863154,52.66196985,-6.4,11.6,26.8,31.1,47.3,1,2,0
5.833863873,52.66197879,-6.5,11.6,26.9,31.2,47.5,1,2,0
5.833864413,52.66198785,-6.5,11.6,26.9,31.2,47.7,1,2,0
5.833864953,52.66199679,-6.5,11.8,27,31.7,47.8,2,2,0
5.833865672,52.66200585,-6.5,12.2,27.5,32,47.9,2,2,0
5.833866212,52.66201479,-6.6,12.5,28.3,32.3,48,2,2,0
5.833866751,52.66202374,-6.6,13.1,28.8,32.5,47.9,2,2,0
5.833867291,52.66203268,-6.6,13.4,29.1,32.7,47.3,2,2,0
5.83386783,52.66204174,-6.6,14.1,29.3,32.9,46.5,2,2,0
5.83386855,52.66205068,-6.6,14.5,29.3,32.9,45.8,2,2,0
5.833869089,52.66205974,-6.6,14.6,29.3,33.1,45.4,2,2,0
5.833869629,52.66206857,-6.6,14.6,29,33.1,45.3,2,2,0
