Lat,Lon,Hoogte,EC 0.5m,EC 1m,EC 1.5m,EC 3m,Class_3,Class_5,Outlier
52.6619806,5.8337900,-6.5,11.8,27.1,31.6,47.7,2,2,0.0
52.6619896,5.8337906,-6.6,12.2,27.3,32.1,47.8,2,2,0.0
52.6619986,5.8337912,-6.6,12.4,27.9,32.0,47.8,2,2,0.0
52.6620076,5.8337917,-6.6,12.5,28.8,32.4,47.8,2,2,0.0
52.6620165,5.8337923,-6.6,12.6,28.8,32.4,47.5,2,2,0.0
52.6620255,5.8337929,-6.6,13.1,29.0,32.5,47.3,2,2,0.0
52.6620345,5.8337935,-6.6,13.8,29.5,32.9,46.2,2,2,0.0
52.6620435,5.8337941,-6.6,14.5,29.5,32.9,45.8,2,2,0.0
52.6620524,5.8337946,-6.6,14.6,29.6,33.0,45.7,2,2,0.0
52.6620614,5.8337952,-6.6,14.6,29.7,33.0,45.5,2,2,0.0
52.6619623,5.8338036,-6.4,11.7,26.8,31.0,47.1,1,2,0.0
52.6619713,5.8338042,-6.5,11.7,26.9,31.1,47.1,1,2,0.0
52.6619803,5.8338048,-6.5,11.8,27.0,31.6,47.3,2,2,0.0
52.6619892,5.8338053,-6.6,12.0,27.2,32.0,47.8,2,2,0.0
52.6619982,5.8338059,-6.6,12.4,27.9,32.0,47.8,2,2,0.0
52.6620072,5.8338065,-6.6,12.4,28.7,32.3,47.8,2,2,0.0
52.6620162,5.8338071,-6.6,12.6,28.8,32.4,47.5,2,2,0.0
52.6620252,5.8338077,-6.6,13.1,29.0,32.5,47.1,2,2,0.0
52.6620341,5.8338082,-6.6,14.0,29.5,32.9,46.1,2,2,0.0
52.6620431,5.8338088,-6.6,14.6,29.5,32.9,45.8,2,2,0.0
52.6620521,5.8338094,-6.6,14.6,29.6,33.0,45.7,2,2,0.0
52.6620611,5.8338100,-6.6,14.6,29.6,33.1,45.4,2,2,0.0
52.6620701,5.8338106,-6.6,14.6,29.6,33.1,45.3,2,2,0.0
