X,Y,year,month,day,hr,min,sec,Hoogte,qual,speed(km/h,load(kg),tare(kg),conv.facto,beltspd(m/,workwidth(,yield(ton/,totalyield,point_weig,totalarea(,worktime(s,loadnr,loadweight,loadbelt(m,usertare(%,tarecorrec,tarecorre2,dosering
5.83792844927412,52.6613285230095,2018,3,4.171,6.753,29.835,29.648,-4.35,4,6.365,23.519,21,30.117,0.236,2.225,48.769,91.823,1.903,2.314,6451.918,7.333,32.176,528.256,0,48.323,91.823,320
5.8368325354491,52.6620831078528,2018,3,4.171,6.753,29.835,29.648,-4.35,4,6.365,23.519,21,30.117,0.236,2.225,48.769,91.823,1.903,2.314,6451.918,7.333,32.176,528.256,0,48.323,91.823,320
5.83637343150438,52.6619393557332,2018,3,4.171,6.753,29.835,29.648,-4.35,4,6.365,23.519,21,30.117,0.236,2.225,48.769,91.823,1.903,2.314,6451.918,7.333,32.176,528.256,0,48.323,91.823,320
5.8379284482214,52.6617057388286,2018,3,4.171,6.753,29.835,29.648,-4.35,4,6.365,23.519,21,30.117,0.236,2.225,48.769,91.823,1.903,2.314,6451.918,7.333,32.176,528.256,0,48.323,91.823,320
5.83712859226118,52.6618136537225,2018,3,4.171,6.753,29.835,29.648,-4.35,4,6.365,23.519,21,30.117,0.236,2.225,48.769,91.823,1.903,2.314,6451.918,7.333,32.176,528.256,0,48.323,91.823,320
5.83868361161405,52.6610769442573,2018,3,4,4.934,31.267,29.531,-4.35,4,6.082,23.363,21,30.117,0.24,2.221,46.309,34.362,1.51,0.772,2197.238,5.039,7.09,108.746,0,43.295,34.362,320
5.83701014712322,52.660825490491,2018,3,4.14,8.212,29.467,29.192,-4.35,4,6.317,23.632,21,30.117,0.236,2.216,47.531,130.616,1.929,3.247,9025.699,8.819,46.112,744.434,0,49.308,130.616,320
5.83852092262709,52.6606817100476,2018,3,4,6.301,26.824,28.287,-4.35,4,3.577,11.554,21,30.117,0.141,2.25,3.096,70.793,1.795,1.591,4451.79,7.571,5.79,88.748,0,2.828,70.793,320
5.83848309596493,52.6607044205496,2018,3,4,6.301,26.824,28.287,-4.35,4,3.577,11.554,21,30.117,0.141,2.25,3.096,70.793,1.795,1.591,4451.79,7.571,5.79,88.748,0,2.828,70.793,320
5.83607521887441,52.6599360752207,2018,3,4.618,5.435,33.869,29.238,-4.35,4,5.432,21.896,21,30.117,0.252,2.25,34.261,75.76,1.881,2.383,6634.629,5.672,52.478,908.625,0,34.261,75.76,320
5.83564767867538,52.6623166697853,2018,3,4,8.726,27.636,22.841,-4.35,4,6.217,22.371,21,30.117,0.226,2.227,42.874,126.578,1.589,3.367,9371.604,9.611,39.232,702.899,0,42.886,126.578,340
5.8360771948279,52.6624603701142,2018,3,4,8.726,27.636,22.841,-4.35,4,6.217,22.371,21,30.117,0.226,2.227,42.874,126.578,1.589,3.367,9371.604,9.611,39.232,702.899,0,42.886,126.578,340
5.83604751752232,52.662379474282,2018,3,4,8.726,27.636,22.841,-4.35,4,6.217,22.371,21,30.117,0.226,2.227,42.874,126.578,1.589,3.367,9371.604,9.611,39.232,702.899,0,42.886,126.578,340
5.83542536631843,52.6623345879963,2018,3,4,8.726,27.636,22.841,-4.35,4,6.217,22.371,21,30.117,0.226,2.227,42.874,126.578,1.589,3.367,9371.604,9.611,39.232,702.899,0,42.886,126.578,340
5.83581045601141,52.6625681485848,2018,3,4,8.726,27.636,22.841,-4.35,4,6.217,22.371,21,30.117,0.226,2.227,42.874,126.578,1.589,3.367,9371.604,9.611,39.232,702.899,0,42.886,126.578,340
5.83501073636142,52.66209263116,2018,3,4.005,9.334,33.277,27.68,-4.35,4,6.037,23.003,21,30.117,0.228,2.226,49.851,156.16,1.769,3.753,10419.853,9.967,49.049,773.967,0,52.321,156.16,340
5.83730643292323,52.6623434846405,2018,3,4,5.172,47.719,23.624,-4.35,4,3.847,6.262,21,30.117,0.137,2.25,1.11,39.4,1.827,0.935,2614.772,5.133,14.215,225.537,0,0.996,39.4,340
5.83819505357648,52.6622897554954,2018,3,4,5,51.771,25.845,-4.35,4,6.795,22.24,21,30.117,0.238,2.25,20.168,35.004,1.227,0.835,2367.935,5,12.934,206.796,0,17.387,35.004,340
5.83589944576095,52.6621821358093,2018,3,4,7.844,25.439,27.208,-4.35,4,6.325,23.524,21,30.117,0.24,2.191,46.287,123.517,1.767,2.731,7622.008,9.58,20.318,308.268,0,46.225,123.517,340
5.83468504437511,52.6622537012571,2018,3,4,9.2,39.4,50.075,-4.35,4,5.957,15.328,21,30.117,0.181,2.138,12.34,178.652,1.927,3.752,10425.21,10,57.224,768.36,0,12.42,178.652,340
5.8368622947913,52.6621949050853,2018,3,4,6,21.126,45.722,-4.35,4,2.821,22.702,21,30.117,0.24,2.25,75.103,51.697,0.856,1.242,3499.903,6.121,8.107,140.21,0,67.436,51.697,340
5.83449240959642,52.6621998082537,2018,3,4,10,44.444,27.389,-4.35,4,4.638,21.936,21,30.117,0.268,2.25,22.646,127.089,2.786,4.497,12425.722,10,59.382,1240.192,0,22.918,127.089,340
5.83641776317903,52.6620925766149,2018,3,4,7.694,27.968,39.876,-4.35,4,6.331,23.362,21,30.117,0.24,2.25,42.367,122.676,1.676,2.612,7304.112,9.435,21.492,301.755,0,42.37,122.676,340
5.83834312666188,52.6620919725509,2018,3,4,4.9,36.175,25.102,-4.35,4,6.689,23.746,21,30.117,0.236,2.25,45.929,30.938,1.266,0.732,2092.474,5,8.938,142.407,0,40.351,30.938,340
5.83812095076543,52.6620922999717,2018,3,4,4,38.5,8.045,-4.35,4,6.699,23.852,21,30.117,0.237,2.073,52.368,12.846,1.751,0.274,835.422,3.395,6.976,102.525,0,49.386,12.846,340
5.83671391487343,52.6621190269547,2018,3,4,6.042,47.852,18.793,-4.35,4,3.3,4.607,21,30.117,0.064,2.24,3.255,76.671,1.38,1.652,4626.376,7.81,5.514,78.817,0,3.306,76.671,340
5.83429995463341,52.6621010279457,2018,3,5,2.444,18.824,37.296,-4.35,4,4.426,22.109,21,30.117,0.249,2.25,27.577,37.263,2.213,0.789,2220.065,3,37.273,511.882,0,27.577,37.263,340
5.83427023210184,52.6621099648743,2018,3,5,2.444,18.824,37.296,-4.35,4,4.426,22.109,21,30.117,0.249,2.25,27.577,37.263,2.213,0.789,2220.065,3,37.273,511.882,0,27.577,37.263,340
5.83770627179175,52.6618405185019,2018,3,4,6.477,24.961,23.323,-4.35,4,6.389,23.606,21,30.117,0.242,2.206,47.497,74.909,1.741,1.675,4688.215,7.536,8.156,121.564,0,44.977,74.909,340
5.83444798058246,52.6617591819798,2018,3,4.76,4.081,35.906,27.926,-4.35,4,6.002,23.503,21,30.117,0.234,2.237,47.137,57.223,1.644,1.7,4760.808,4.678,42.602,706.121,0,47.137,57.223,340
5.83666948836517,52.6619668547949,2018,3,4,7.243,19.108,29.728,-4.35,4,5.767,21.662,21,30.117,0.232,2.25,30.867,104.723,1.825,2.235,6245.931,9.105,12.978,179.691,0,30.748,104.723,340
5.83797283222358,52.6619307951628,2018,3,4,4.413,36.819,29.406,-4.35,4,6.558,24.097,21,30.117,0.238,2.25,53.547,23.524,2.089,0.518,1499.889,4.174,8.884,130.253,0,50.158,23.524,340
5.83548472152365,52.6619303002976,2018,3,4,9.762,25.167,34.925,-4.35,4,6.332,23.91,21,30.117,0.237,2.25,51.645,191.153,2.261,4.007,11123.49,10,69.694,932.29,0,60.194,191.153,340
5.83449245315522,52.6619120236454,2018,3,5,2.2,19.8,34.283,-4.35,4,6.374,23.933,21,30.117,0.247,2.25,54.265,32.913,2.269,0.698,1980.1,3,32.907,453.92,0,54.265,32.913,340
5.8386852637989,52.6618451898617,2018,3,4,5,57.393,30.435,-4.35,4,7.059,23.04,21,30.117,0.24,2.25,32.844,38.601,0.91,0.919,2575.504,5,15.984,256.991,0,29.42,38.601,340
5.83878076055894,52.6617480805105,2018,3,4,5,57.75,20.507,-4.35,4,7.159,23.282,21,30.117,0.25,2.25,38.553,38.75,1.373,0.92,2584.783,5,16.102,259.229,0,34.456,38.75,340
5.83849119861827,52.6617502962447,2018,3,4,4,40.938,30.099,-4.35,4,6.901,23.599,21,30.117,0.243,1.958,51.154,14.791,1.617,0.317,958.073,3.5,7.473,109.66,0,48.489,14.791,340
5.83585506207531,52.6616339021331,2018,3,4,9.605,29.181,35.525,-4.35,4,6.392,23.815,21,30.117,0.234,2.25,48.996,146.103,1.994,3.906,10838.338,10,48.847,864.134,0,51.3,146.103,340
5.8347886462729,52.6615979539588,2018,3,5,2.292,19.132,33.253,-4.35,4,6.391,24.164,21,30.117,0.236,2.227,55.891,32.953,2.062,0.703,1994.89,3,32.955,457.314,0,55.891,32.953,340
5.83801730229063,52.661274631386,2018,3,4,5.128,30.716,27.254,-4.35,4,6.588,23.89,21,30.117,0.238,2.231,50.057,38.583,1.91,0.876,2480.577,5.314,7.216,111.965,0,46.692,38.583,340
5.83807656761237,52.6613285230095,2018,3,4,5.128,30.716,27.254,-4.35,4,6.588,23.89,21,30.117,0.238,2.231,50.057,38.583,1.91,0.876,2480.577,5.314,7.216,111.965,0,46.692,38.583,340
5.83844690837503,52.6614183351474,2018,3,4,5.128,30.716,27.254,-4.35,4,6.588,23.89,21,30.117,0.238,2.231,50.057,38.583,1.91,0.876,2480.577,5.314,7.216,111.965,0,46.692,38.583,340
5.83844690837503,52.6613464434182,2018,3,4,5.128,30.716,27.254,-4.35,4,6.588,23.89,21,30.117,0.238,2.231,50.057,38.583,1.91,0.876,2480.577,5.314,7.216,111.965,0,46.692,38.583,340
5.83829887996899,52.6611308766138,2018,3,4,5.128,30.716,27.254,-4.35,4,6.588,23.89,21,30.117,0.238,2.231,50.057,38.583,1.91,0.876,2480.577,5.314,7.216,111.965,0,46.692,38.583,340
5.83841709591128,52.6613015039849,2018,3,4,5.128,30.716,27.254,-4.35,4,6.588,23.89,21,30.117,0.238,2.231,50.057,38.583,1.91,0.876,2480.577,5.314,7.216,111.965,0,46.692,38.583,340
5.83776558200588,52.6614003349473,2018,3,4,6.293,30.246,37.094,-4.35,4,6.594,23.822,21,30.117,0.24,2.224,49.141,73.634,1.975,1.625,4553.761,7.768,5.156,79.006,0,47.467,73.634,340
5.83792844927412,52.6614812232639,2018,3,4,6.293,30.246,37.094,-4.35,4,6.594,23.822,21,30.117,0.24,2.224,49.141,73.634,1.975,1.625,4553.761,7.768,5.156,79.006,0,47.467,73.634,340
5.83689171083864,52.66118484823,2018,3,4,8.059,23.277,27.451,-4.35,4,6.33,23.566,21,30.117,0.235,2.24,51.815,116.811,2.092,2.822,7861.318,9.226,26.901,451.497,0,51.398,116.811,340
5.83702508024688,52.6612566604038,2018,3,4,8.059,23.277,27.451,-4.35,4,6.33,23.566,21,30.117,0.235,2.24,51.815,116.811,2.092,2.822,7861.318,9.226,26.901,451.497,0,51.398,116.811,340
5.83726214153351,52.6614183351474,2018,3,4,8.059,23.277,27.451,-4.35,4,6.33,23.566,21,30.117,0.235,2.24,51.815,116.811,2.092,2.822,7861.318,9.226,26.901,451.497,0,51.398,116.811,340
5.8368324455169,52.6613374398941,2018,3,4,8.059,23.277,27.451,-4.35,4,6.33,23.566,21,30.117,0.235,2.24,51.815,116.811,2.092,2.822,7861.318,9.226,26.901,451.497,0,51.398,116.811,340
5.83718785758292,52.6615081976388,2018,3,4,8.059,23.277,27.451,-4.35,4,6.33,23.566,21,30.117,0.235,2.24,51.815,116.811,2.092,2.822,7861.318,9.226,26.901,451.497,0,51.398,116.811,340
5.83631389648379,52.6615800074893,2018,3,4,8.059,23.277,27.451,-4.35,4,6.33,23.566,21,30.117,0.235,2.24,51.815,116.811,2.092,2.822,7861.318,9.226,26.901,451.497,0,51.398,116.811,340
5.83619559202905,52.6615534485009,2018,3,4,11,33.967,35.467,-4.35,4,6.111,23.722,21,30.117,0.231,2.25,48.894,142.201,1.817,5.044,13970.723,10,81.211,1595.571,0,48.894,142.201,340
5.83530701549064,52.6615530627236,2018,3,4,9.767,20.283,29.211,-4.35,4,6.381,24.052,21,30.117,0.233,2.231,53.333,188.652,2.096,3.959,10989.607,10,67.211,900.914,0,53.282,188.652,340
5.8351588971524,52.6614182771892,2018,3,4.461,6.472,34.06,24.413,-4.35,4,6.387,24.117,21,30.117,0.23,2.25,53.509,83.609,2.05,2.832,7865.267,6.773,49.451,934.488,0,54.609,83.609,340
5.83908367197971,52.661121435243,2018,3,4,4.292,39.074,24.588,-4.35,4,5.456,19.377,21,30.117,0.207,2.218,31.967,20.265,1.253,0.454,1318.998,3.961,8.775,132.106,0,29.758,20.265,340
5.836432786758,52.6612566604097,2018,3,4,9.798,26.439,32.145,-4.35,4,6.274,23.292,21,30.117,0.23,2.233,52.491,166.74,2.149,4.043,11213.635,10,61.1,952.985,0,56.172,166.74,340
5.83626964979091,52.6611213747144,2018,3,4,9.798,26.439,32.145,-4.35,4,6.274,23.292,21,30.117,0.23,2.233,52.491,166.74,2.149,4.043,11213.635,10,61.1,952.985,0,56.172,166.74,340
5.83908362842088,52.6613016055833,2018,3,4,4.25,44.667,45.389,-4.35,4,6.874,23.476,21,30.117,0.24,2.25,40.914,29.004,1.857,0.625,1788.132,5,5.14,70.949,0,38.762,29.004,340
5.8386836946809,52.6612841548879,2018,3,4,4,33.684,32.041,-4.35,4,6.274,23.887,21,30.117,0.236,2.25,51.593,9.958,1.847,0.213,656.071,3.132,7.998,119.025,0,48.598,9.958,340
5.83772097622701,52.6610769938398,2018,3,4,6.73,26.74,30.489,-4.35,4,6.426,23.945,21,30.117,0.24,2.208,53.095,87.485,1.929,1.905,5331.566,8.147,10.752,153.093,0,51.753,87.485,340
5.83515885218637,52.6612297632576,2018,3,5,2.467,17.133,35.594,-4.35,4,6.406,23.99,21,30.117,0.237,2.25,52.306,35.833,2.136,0.761,2152.478,3,35.828,495.762,0,52.306,35.833,340
5.83490713497504,52.6611943717806,2018,3,4.88,3.022,33.922,28.055,-4.35,4,6.386,20.118,21,30.117,0.2,2.238,39.242,43.856,1.732,1.177,3316.21,3.837,36.56,567.593,0,39.242,43.856,340
5.83886136375986,52.6610146462787,2018,3,4,4.308,34.423,27.324,-4.35,4,5.026,23.171,21,30.117,0.238,2.25,57.744,23.3,0.514,0.499,1463.195,4.308,6.102,87.002,0,54.811,23.3,340
5.83693613734689,52.6610410377135,2018,3,4,10.556,8.444,18.407,-4.35,4,6.404,24.72,21,30.117,0.232,2.25,64.263,131.75,2.399,4.394,12181.433,10,57.332,1179.883,0,64.298,131.75,340
5.83589944082849,52.6609596972145,2018,3,4,9.593,26.259,17.454,-4.35,4,6.39,23.96,21,30.117,0.235,2.229,52.145,181.431,2.028,3.879,10766.611,10,62.224,848.754,0,57.737,181.431,340
5.83856521422441,52.6609423008951,2018,3,4,6.333,15.217,26.68,-4.35,4,4.876,22.976,21,30.117,0.256,2.14,88.944,63.847,0.864,1.452,4061.749,7,7.345,114.845,0,54.731,63.847,340
5.83693609238086,52.6609423034839,2018,3,4,11,26.111,37.389,-4.35,4,6.337,24.169,21,30.117,0.23,2.25,54.781,138.363,2.051,4.969,13769.104,10,77.379,1548.863,0,54.781,138.363,340
5.83886140594742,52.6608614157107,2018,3,4,4.989,31.163,30.165,-4.35,4,3.217,22.097,21,30.117,0.241,2.25,35.708,33.212,0.711,0.763,2169.373,5,10.212,161.103,0,32.064,33.212,340
5.83834312666188,52.6608883072415,2018,3,4,6,44,17.75,-4.35,4,6.699,23.662,21,30.117,0.24,2.25,45.213,69.2,1.984,1.565,4402.275,7.5,4.726,76.862,0,42.95,69.2,340
5.83675834138168,52.6608608091304,2018,3,4,10.419,35.273,15.484,-4.35,4,6.052,23.935,21,30.117,0.231,2.101,56.045,129.231,2.082,4.656,12887.011,10,64.395,1345.829,0,59.125,129.231,340
5.83582529445694,52.6608349099836,2018,3,4.577,5.558,33.918,28.863,-4.35,4,6.414,23.946,21,30.117,0.232,2.25,50.611,71.938,1.743,2.394,6662.632,5.962,46.134,846.079,0,50.611,71.938,340
5.83499730415571,52.6608349721319,2018,3,4.186,9.154,50.494,27.491,-4.35,4,6.42,23.156,21,30.117,0.232,2.25,36.63,126.592,1.321,4.328,12003.94,8.697,76.957,1447.18,0,36.63,126.592,340
5.83868374498525,52.6608074639723,2018,3,4,6.593,16.713,36.859,-4.35,4,2.974,15.632,21,30.117,0.166,2.244,40.628,77.016,1.627,1.703,4757.392,7.778,9.206,135.81,0,37.175,77.016,340
5.83545513381655,52.6608074640024,2018,3,5,3,26.444,33.111,-4.35,4,6.372,23.144,21,30.117,0.24,2.032,41.047,50.35,1.685,1.075,3033.592,3,50.341,707.153,0,41.047,50.35,340
5.83819505330222,52.6607625794303,2018,3,4,6,22.167,45.286,-4.35,4,4.984,22.497,21,30.117,0.247,2.203,36.978,53.017,0.959,1.268,3550.292,6.667,2.037,33.087,0,33.127,53.017,340
5.83792849531888,52.660744794807,2018,3,4,7.167,29.125,30.617,-4.35,4,6.383,23.322,21,30.117,0.246,2.25,42.334,105.435,1.826,2.248,6282.463,8.988,13.775,190.725,0,42.334,105.435,340
5.83834308196504,52.660708734222,2018,3,4,6,19,41.125,-4.35,4,3.579,9.088,21,30.117,0.117,2.25,0,51.038,1.637,1.231,3446.32,6,9.07,154.373,0,0,51.038,340
5.83720260652725,52.6606277889454,2018,3,4,9.851,21.595,30.147,-4.35,4,6.249,24.19,21,30.117,0.234,2.25,56.873,138.803,1.718,4.067,11291.914,9.973,51.832,981.388,0,56.925,138.803,340
5.83518315247922,52.6606729363912,2018,3,4.18,9.2,52.08,27.589,-4.35,4,6.42,23.204,21,30.117,0.232,2.25,37.436,127.973,1.313,4.369,12123.382,8.74,77.949,1465.234,0,37.436,127.973,340
5.8358993989114,52.6605912358641,2018,3,5,2.009,19.35,19.397,-4.35,4,6.424,23.445,21,30.117,0.235,2.25,42.388,25.575,1.664,0.553,1591.403,3,25.569,360.562,0,42.388,25.575,340
5.83545504442603,52.6606277939263,2018,3,5,2,18.944,34.944,-4.35,4,6.358,23.289,21,30.117,0.237,2.25,40.479,27.632,1.621,0.592,1698.911,3,27.624,386.586,0,40.479,27.632,340
5.83671395709394,52.6605295612393,2018,3,4,8.779,36.042,27.068,-4.35,4,6.307,23.751,21,30.117,0.237,2.221,49.515,156.408,1.781,3.299,9177.385,10,34.981,472.517,0,49.528,156.408,340
5.83567731136136,52.6605828547151,2018,3,5,3,27.5,21.278,-4.35,4,6.448,23.025,21,30.117,0.24,2.11,36.694,50.875,1.393,1.083,3071.225,3,50.894,716.086,0,36.694,50.875,340
5.83701015154991,52.6605380069702,2018,3,4,10,37.75,44.524,-4.35,4,6.448,23.785,21,30.117,0.236,2.25,48.327,139.997,2.567,4.396,12152.282,10,61.382,1176.658,0,59.387,139.997,340
5.83631402998656,52.660007750933,2018,3,4.847,3.931,29.184,30.024,-4.35,4,5.19,21.673,21,30.117,0.232,2.206,42.061,59.659,1.372,1.578,4418.152,4.071,50.331,774.073,0,42.061,59.659,340
5.83619559060915,52.6598642431631,2018,3,5,1.942,22.529,29.978,-4.35,4,2.627,9.096,21,30.117,0.125,2.25,3.087,28.216,1.957,0.603,1728.801,3,28.216,393.998,0,3.087,28.216,340
5.83563283986189,52.6624424240008,2018,3,4,8.825,27.884,26.611,-4.35,4,5.866,22.639,21,30.117,0.237,2.221,41.801,126.102,1.111,3.428,9534.3,9.71,37.271,695.386,0,42.182,126.102,360
5.83612157643125,52.6623076462031,2018,3,4,7.548,28.522,26.211,-4.35,4,6.363,23.131,21,30.117,0.24,2.195,38.726,119.319,1.61,2.541,7101.985,9.413,18.925,265.081,0,38.795,119.319,360
5.83752856432647,52.6621994770458,2018,3,4,4.782,28.366,27.562,-4.35,4,6.067,19.853,21,30.117,0.219,2.233,28.928,28.631,1.624,0.648,1844.541,4.58,9.007,135.234,0,26.793,28.631,360
5.83501077908504,52.6623345938552,2018,3,4,9.083,49.488,36.929,-4.35,4,4.839,23.306,21,30.117,0.236,2.25,129.455,179.215,0.486,3.763,10465.94,10,57.777,778.267,0,56.373,179.215,360
5.8380468899854,52.6622723051751,2018,3,4,4.418,44.032,34.908,-4.35,4,6.561,23.23,21,30.117,0.239,2.209,39.322,25.746,1.399,0.58,1677.903,4.445,8.067,122.858,0,36.572,25.746,360
5.83767664046808,52.6622898114576,2018,3,4,4,37.722,29.537,-4.35,4,6.73,23.032,21,30.117,0.249,2.25,35.784,13.078,1.825,0.276,836.436,3.444,6.479,91.95,0,33.606,13.078,360
5.83456646877802,52.6622537457947,2018,3,4,10,17.917,15.694,-4.35,4,3.886,18.717,21,30.117,0.236,2.25,0.892,196.414,1.939,4.117,11407.642,10,74.964,1000.136,0,0.808,196.414,360
5.83662578499422,52.6620926907317,2018,3,4,7.953,17.009,36.52,-4.35,4,5.553,17.858,21,30.117,0.19,2.25,25.309,123.652,1.436,2.627,7323.035,9.437,17.396,241.033,0,25.348,123.652,360
5.83631407629916,52.6621369723115,2018,3,4,7.953,17.009,36.52,-4.35,4,5.553,17.858,21,30.117,0.19,2.25,25.309,123.652,1.436,2.627,7323.035,9.437,17.396,241.033,0,25.348,123.652,360
5.83629923748567,52.6621728891636,2018,3,4,7.953,17.009,36.52,-4.35,4,5.553,17.858,21,30.117,0.19,2.25,25.309,123.652,1.436,2.627,7323.035,9.437,17.396,241.033,0,25.348,123.652,360
5.83427027704268,52.6621549672064,2018,3,4.836,3.255,36.52,22.54,-4.35,4,2.805,16.791,21,30.117,0.219,2.224,10.9,44.856,1.774,1.288,3607.882,4.148,34.851,561.82,0,10.9,44.856,360
5.83823934489969,52.6621100270055,2018,3,4,4.355,46.204,29.174,-4.35,4,6.719,23.711,21,30.117,0.239,2.246,46.625,26.761,1.635,0.595,1720.381,4.677,6.382,96.373,0,43.348,26.761,360
5.83701019401202,52.6620375342143,2018,3,4,6,14.629,29.328,-4.35,4,4.542,22.839,21,30.117,0.24,2.25,51.656,47.727,0.882,1.15,3231.283,6.055,5.026,91.236,0,46.402,47.727,360
5.83397404037867,52.6620740817245,2018,3,5,2,17.222,33.037,-4.35,4,3.142,22.462,21,30.117,0.24,2.25,52.446,27.437,1.104,0.582,1680.354,3,27.43,381.904,0,52.446,27.437,360
5.83789868198747,52.6619573498165,2018,3,4,4.555,27.406,23.202,-4.35,4,6.509,24.035,21,30.117,0.238,2.247,52.795,23.421,1.89,0.52,1494.861,4.244,8.502,126.175,0,49.363,23.421,360
