X,Y,year,month,day,hr,min,sec,Hoogte,qual,speed(km/h,load(kg),tare(kg),conv.facto,beltspd(m/,workwidth(,yield(ton/,totalyield,point_weig,totalarea(,worktime(s,loadnr,loadweight,loadbelt(m,usertare(%,tarecorrec,tarecorre2,SampleID
5.83382790560836,52.6620167545412,2018,3,4.165,9.405,47.172,47.976,-4.35,4,2.836,22.176,21,30.117,0.23,2.25,57.78,129.133,0.176,4.41,12250.658,8.842,78.24,1470.777,0,57.78,129.133,1
5.83390507937038,52.6619406089747,2018,3,4.344,7.555,50.109,32.422,-4.35,4,3.692,21.359,21,30.117,0.22,2.25,42.036,103.128,0.367,3.507,9750.09,7.589,63.151,1183.512,0,42.036,103.128,2
5.83397846280944,52.6618681718555,2018,3,4.271,8.285,49.744,26.357,-4.35,4,5.018,22.696,21,30.117,0.23,2.25,36.516,113.091,0.85,3.865,10736.486,8.1,68.663,1292.955,0,36.516,113.091,3
5.83406022357656,52.6617874450126,2018,3,4.278,8.222,50.097,16.514,-4.35,4,5.812,23.462,21,30.117,0.233,2.25,47.099,112.331,0.965,3.837,10657.419,8.056,68.274,1284.275,0,47.099,112.331,4
5.83413782397563,52.6617109177753,2018,3,4.295,8.051,50.033,25.036,-4.35,4,6.056,23.306,21,30.117,0.23,2.25,41.248,109.942,1.538,3.753,10429.295,7.936,66.946,1259.739,0,41.248,109.942,5
5.83421542889478,52.6616343357486,2018,3,4.283,8.167,50.5,34.089,-4.35,4,6.226,23.675,21,30.117,0.23,2.25,46.753,112.022,1.518,3.82,10618.271,8.017,68.313,1285.085,0,46.753,112.022,6
5.83429295708975,52.6615578078204,2018,3,4.249,8.51,50.02,28.348,-4.35,4,6.369,23.347,21,30.117,0.23,2.25,39.992,116.522,1.652,3.982,11064.065,8.257,70.715,1331.603,0,39.992,116.522,7
5.83436531229234,52.6614864051467,2018,3,4.294,8.063,50.227,25.972,-4.35,4,6.367,23.231,21,30.117,0.228,2.25,37.685,110.323,1.842,3.764,10458.353,7.944,67.259,1264.71,0,37.685,110.323,8
5.83444810723792,52.6614046423782,2018,3,4.202,8.976,50.598,33.168,-4.35,4,6.331,23.363,21,30.117,0.231,2.25,40.599,123.604,1.517,4.23,11740.452,8.583,74.961,1412.992,0,40.599,123.604,9
5.83452570169501,52.6613281146092,2018,3,4.297,8.031,50.719,37.729,-4.35,4,6.391,23.545,21,30.117,0.232,2.25,43.616,110.416,1.638,3.76,10447.916,7.922,67.533,1267.24,0,43.616,110.416,10
5.83460094940569,52.6612538744517,2018,3,4.229,8.708,50.229,46.792,-4.35,4,6.392,23.802,21,30.117,0.231,2.25,47.883,119.792,1.655,4.094,11366.772,8.396,72.768,1369.783,0,47.883,119.792,11
5.83468090748587,52.6611749491739,2018,3,4.352,7.483,50.895,36.288,-4.35,4,6.39,23.78,21,30.117,0.23,2.25,47.17,102.855,1.832,3.49,9702.049,7.538,63.316,1183.493,0,47.17,102.855,12
5.83475853850363,52.6610983655895,2018,3,4.272,8.278,51.242,22.167,-4.35,4,6.405,23.615,21,30.117,0.231,2.25,44.357,114.185,2.013,3.891,10803.291,8.094,69.799,1309.427,0,44.357,114.185,13
5.83483614772759,52.6610218369345,2018,3,4.156,9.438,51.849,19.887,-4.35,4,6.406,22.949,21,30.117,0.233,2.25,33.013,130.993,1.789,4.479,12428.281,8.906,79.526,1497.205,0,33.013,130.993,14
5.8349136712421,52.6609452534978,2018,3,4.458,6.417,49.932,17.912,-4.35,4,6.405,23.47,21,30.117,0.229,2.25,41.376,87.044,1.738,2.938,8180.052,6.792,54.011,1004.369,0,41.376,87.044,15
5.83499134337005,52.6608687252094,2018,3,4.254,8.464,51.421,27.314,-4.35,4,6.403,23.175,21,30.117,0.231,2.25,37.095,117.085,1.355,3.99,11076.328,8.225,71.557,1342.358,0,37.095,117.085,16
5.83506557223015,52.6607954648271,2018,3,4.15,9.5,51.929,31.211,-4.35,4,6.411,22.972,21,30.117,0.233,2.25,33.258,132.105,1.393,4.518,12530.57,8.95,80.255,1510.797,0,33.258,132.105,17
5.8351465958328,52.660715557065,2018,3,4.313,7.875,51.276,24.151,-4.35,4,6.377,23.143,21,30.117,0.231,2.25,36.436,108.668,1.532,3.694,10257.86,7.813,66.738,1248.472,0,36.436,108.668,18
5.83522412872276,52.6606389728724,2018,3,4.448,6.536,50.127,29.935,-4.35,4,6.386,23.07,21,30.117,0.23,2.25,35.004,89.531,1.412,3.015,8387.591,6.865,55.858,1035.315,0,35.004,89.531,19
5.83530169969541,52.6605624443088,2018,3,4.144,9.558,52.505,32.831,-4.35,4,6.394,22.957,21,30.117,0.233,2.25,33.544,133.367,1.323,4.557,12641.58,8.99,81.172,1527.298,0,33.544,133.367,20
5.83537932097386,52.6604858598835,2018,3,4.275,8.25,51.45,40.547,-4.35,4,6.394,22.893,21,30.117,0.232,2.25,32.258,114.298,1.32,3.889,10798.799,8.075,70.085,1312.844,0,32.258,114.298,21
5.8354569498486,52.6604092751469,2018,3,4.421,6.792,50.665,46.192,-4.35,4,6.38,22.866,21,30.117,0.231,2.25,31.5,93.297,1.39,3.153,8760.009,7.054,57.977,1077.657,0,31.5,93.297,22
5.83553914461557,52.6603282168495,2018,3,4.26,8.4,51.802,27.629,-4.35,4,6.393,23.23,21,30.117,0.231,2.25,37.938,116.527,1.155,3.969,11015.004,8.18,71.401,1338.617,0,37.938,116.527,23
5.83561215598117,52.6602561610268,2018,3,4.083,10.167,52.841,17.951,-4.35,4,6.379,23.165,21,30.117,0.235,2.25,37.559,142.016,1.225,4.864,13489.072,9.417,86.108,1624.436,0,37.559,142.016,24
5.83568976693839,52.6601795763071,2018,3,4.333,7.673,51.858,20.384,-4.35,4,6.37,23.43,21,30.117,0.229,2.25,41.39,106.272,1.589,3.606,10012.495,7.671,65.576,1224.574,0,41.39,106.272,25
5.83577387075462,52.6600965541096,2018,3,4.333,7.667,52.518,26.855,-4.35,4,6.386,23.462,21,30.117,0.229,2.25,41.612,106.754,1.531,3.617,10041.101,7.667,66.091,1232.459,0,41.612,106.754,26
5.83584500990404,52.6600264059742,2018,3,4.042,10.583,53.093,29.111,-4.35,4,6.427,22.955,21,30.117,0.233,2.25,33.284,148.218,1.597,5.083,14086.251,9.708,89.786,1695.01,0,33.284,148.218,27
5.83592253998805,52.6599498751915,2018,3,4.288,8.183,48.467,31.488,-4.35,4,6.242,23.183,21,30.117,0.264,2.25,43.5,113.078,1.585,3.841,10660.865,7.983,69.655,1302.294,0,43.5,113.078,28
5.83600021290293,52.6598732905844,2018,3,4.24,8.862,36.827,27.489,-4.34,4,3.903,18.878,21,30.117,0.228,2.25,11.932,120.01,1.784,4.085,11333.666,8.319,73.684,1380.358,0,11.932,120.01,29
5.83606956075114,52.6598048323255,2018,3,4.417,7.021,41.617,33.144,-4.34,4,2.801,14.603,21,30.117,0.193,2.25,1.258,95.422,1.739,3.208,8913.5,7.083,59.857,1106.076,0,1.258,95.422,30
5.83619455073494,52.6598514717152,2018,3,5,1.492,32.184,30.329,-4.35,4,3.437,9.809,21,30.117,0.147,2.25,1.841,18.606,1.801,0.402,1177.635,3,18.593,262.572,0,1.841,18.606,31
5.83612521866513,52.6599198745177,2018,3,5,1.839,25.498,29.691,-4.35,4,4.948,20.301,21,30.117,0.24,2.25,13.52,26.401,2.234,0.566,1620.773,3,26.395,368.502,0,13.52,26.401,32
5.836047607174,52.6599964597049,2018,3,5,1.796,23.283,19.428,-4.35,4,6.309,23.655,21,30.117,0.273,2.25,54.416,23.818,2.078,0.515,1480.625,3,23.821,334.518,0,54.416,23.818,33
5.83597008561507,52.6600730447579,2018,3,5,1.682,24.36,25.802,-4.35,4,6.391,23.92,21,30.117,0.255,2.25,55.467,20.102,1.594,0.437,1268.443,3,20.106,284.226,0,55.467,20.102,34
5.83589256405614,52.6601496296768,2018,3,5,1.858,23.124,22.616,-4.35,4,6.368,23.713,21,30.117,0.237,2.25,47.855,25.151,1.774,0.543,1553.625,3,25.146,352.181,0,47.855,25.151,35
5.83581495256499,52.6602262144614,2018,3,5,1.868,23.581,22.665,-4.35,4,6.339,23.144,21,30.117,0.237,2.25,37.626,26.253,1.499,0.563,1615.853,3,26.245,366.888,0,37.626,26.253,36
5.83573734107387,52.6603027991119,2018,3,5,1.82,23.886,32.266,-4.35,4,6.39,23.473,21,30.117,0.235,2.25,43.123,24.206,1.68,0.521,1498.114,3,24.21,339.163,0,43.123,24.206,37
5.83565981951493,52.6603793836282,2018,3,5,1.824,20.532,37.885,-4.34,4,6.412,23.172,21,30.117,0.236,2.25,37.831,22.95,1.465,0.496,1431.309,3,22.953,322.802,0,37.831,22.95,38
5.835582297956,52.6604559680103,2018,3,5,1.933,19.921,35.24,-4.35,4,6.405,23.306,21,30.117,0.236,2.25,40.324,26.027,1.659,0.559,1604.301,3,26.022,363.99,0,40.324,26.027,39
5.83550468646485,52.6605325522582,2018,3,5,1.676,25.643,35.247,-4.35,4,6.391,23.195,21,30.117,0.235,2.25,38.17,20.766,1.573,0.448,1300.882,3,20.759,292.15,0,38.17,20.766,40
5.83542707497372,52.6606091363719,2018,3,5,1.857,20.169,33.829,-4.35,4,6.384,23.32,21,30.117,0.236,2.25,40.464,23.835,1.717,0.513,1480.316,3,23.835,334.451,0,40.464,23.835,41
5.83534955341479,52.6606857203515,2018,3,5,1.972,19.283,30.429,-4.35,4,6.393,23.377,21,30.117,0.238,2.25,41.83,26.497,1.786,0.568,1630.717,3,26.496,370.327,0,41.83,26.497,42
5.83527203185586,52.6607623041969,2018,3,5,1.711,24.589,23.893,-4.35,4,6.335,23.488,21,30.117,0.234,2.25,43.591,21.209,1.752,0.457,1325.176,3,21.203,298.051,0,43.591,21.209,43
5.83519451029692,52.660838887908,2018,3,5,1.688,27.72,22.028,-4.35,4,6.255,23.54,21,30.117,0.234,2.25,45.244,21.824,1.827,0.47,1362.28,3,21.825,306.818,0,45.244,21.824,44
5.83511689880577,52.6609154714851,2018,3,5,1.826,29.642,24.853,-4.35,4,6.199,23.649,21,30.117,0.238,2.25,48.446,26.97,1.705,0.577,1657.073,3,26.966,376.701,0,48.446,26.97,45
5.83503928731465,52.6609920549279,2018,3,5,1.609,34.065,27.322,-4.35,4,6.065,23.414,21,30.117,0.236,2.25,45.077,22.865,1.607,0.49,1423.934,3,22.865,321.265,0,45.077,22.865,46
5.83496176575572,52.6610686382365,2018,3,5,1.481,38.79,29.597,-4.35,4,6.146,23.508,21,30.117,0.234,2.25,45.878,21.093,1.667,0.455,1319.085,3,21.098,296.691,0,45.878,21.093,47
5.83488424419678,52.661145221411,2018,3,5,1.743,27.538,27.626,-4.35,4,5.828,18.044,21,30.117,0.183,2.25,36.219,24.519,1.157,0.529,1523.765,3,24.513,344.153,0,36.219,24.519,48
